station_european_code,component_code,component_name,component_caption,statistics_year,statistic_shortname,statistic_name,statistic_value,statistics_percentage_valid,statistics_number_valid
IASI,8,Nitrogen dioxide (air),NO2,2006,P50,50 percentile,"33,435","93,425",341
IASI,8,Nitrogen dioxide (air),NO2,2006,Mean,annual mean,"34,506","93,425",341
IASI,8,Nitrogen dioxide (air),NO2,2006,P95,95 percentile,"55,348","93,425",341
IASI,8,Nitrogen dioxide (air),NO2,2006,P98,98 percentile,"71,591","93,425",341
IASI,8,Nitrogen dioxide (air),NO2,2006,Max,maximum,"100,087","93,425",341
IASI,8,Nitrogen dioxide (air),NO2,2006,P50,50 percentile,"31,000","88,447",7748
IASI,8,Nitrogen dioxide (air),NO2,2006,Mean,annual mean,"34,543","88,447",7748
IASI,8,Nitrogen dioxide (air),NO2,2006,P95,95 percentile,"71,000","88,447",7748
IASI,8,Nitrogen dioxide (air),NO2,2006,P98,98 percentile,"87,000","88,447",7748
IASI,8,Nitrogen dioxide (air),NO2,2006,Max,maximum,"217,000","88,447",7748
IASI,8,Nitrogen dioxide (air),NO2,2006,Max19,19th highest value,"133,000","88,447",7748
IASI,8,Nitrogen dioxide (air),NO2,2006,Hours(c > 200),hours with c > 200 ug/m3,"1,000","88,447",7748
IASI,8,Nitrogen dioxide (air),NO2,2007,P50,50 percentile,"30,883","81,096",296
IASI,8,Nitrogen dioxide (air),NO2,2007,Mean,annual mean,"32,153","81,096",296
IASI,8,Nitrogen dioxide (air),NO2,2007,P95,95 percentile,"49,909","81,096",296
IASI,8,Nitrogen dioxide (air),NO2,2007,P98,98 percentile,"54,167","81,096",296
IASI,8,Nitrogen dioxide (air),NO2,2007,Max,maximum,"62,035","81,096",296
IASI,8,Nitrogen dioxide (air),NO2,2007,P50,50 percentile,"29,900","76,553",6706
IASI,8,Nitrogen dioxide (air),NO2,2007,Mean,annual mean,"32,206","76,553",6706
IASI,8,Nitrogen dioxide (air),NO2,2007,P95,95 percentile,"64,900","76,553",6706
IASI,8,Nitrogen dioxide (air),NO2,2007,P98,98 percentile,"76,100","76,553",6706
IASI,8,Nitrogen dioxide (air),NO2,2007,Max,maximum,"129,400","76,553",6706
IASI,8,Nitrogen dioxide (air),NO2,2007,Max19,19th highest value,"97,100","76,553",6706
IASI,8,Nitrogen dioxide (air),NO2,2007,Hours(c > 200),hours with c > 200 ug/m3,0,"76,553",6706
IASI,8,Nitrogen dioxide (air),NO2,2009,P50,50 percentile,"39,199","78,356",286
IASI,8,Nitrogen dioxide (air),NO2,2009,Mean,annual mean,"40,461","78,356",286
IASI,8,Nitrogen dioxide (air),NO2,2009,P95,95 percentile,"64,353","78,356",286
IASI,8,Nitrogen dioxide (air),NO2,2009,P98,98 percentile,"72,076","78,356",286
IASI,8,Nitrogen dioxide (air),NO2,2009,Max,maximum,"97,082","78,356",286
IASI,8,Nitrogen dioxide (air),NO2,2009,P50,50 percentile,"36,740","74,658",6540
IASI,8,Nitrogen dioxide (air),NO2,2009,Mean,annual mean,"40,549","74,658",6540
IASI,8,Nitrogen dioxide (air),NO2,2009,P95,95 percentile,"82,300","74,658",6540
IASI,8,Nitrogen dioxide (air),NO2,2009,P98,98 percentile,"96,170","74,658",6540
IASI,8,Nitrogen dioxide (air),NO2,2009,Max,maximum,"159,750","74,658",6540
IASI,8,Nitrogen dioxide (air),NO2,2009,Max19,19th highest value,"126,290","74,658",6540
IASI,8,Nitrogen dioxide (air),NO2,2009,Hours(c > 200),hours with c > 200 ug/m3,0,"74,658",6540
IASI,9,Nitrogen oxides (air),NOX,2006,P50,50 percentile,"81,043","93,151",340
IASI,9,Nitrogen oxides (air),NOX,2006,Mean,annual mean,"92,381","93,151",340
IASI,9,Nitrogen oxides (air),NOX,2006,P95,95 percentile,"179,286","93,151",340
IASI,9,Nitrogen oxides (air),NOX,2006,P98,98 percentile,"215,526","93,151",340
IASI,9,Nitrogen oxides (air),NOX,2006,Max,maximum,"367,652","93,151",340
IASI,9,Nitrogen oxides (air),NOX,2006,P50,50 percentile,"72,000","88,436",7747
IASI,9,Nitrogen oxides (air),NOX,2006,Mean,annual mean,"92,673","88,436",7747
IASI,9,Nitrogen oxides (air),NOX,2006,P95,95 percentile,"239,000","88,436",7747
IASI,9,Nitrogen oxides (air),NOX,2006,P98,98 percentile,"330,000","88,436",7747
IASI,9,Nitrogen oxides (air),NOX,2006,Max,maximum,"747,000","88,436",7747
IASI,9,Nitrogen oxides (air),NOX,2007,P50,50 percentile,"83,239","81,096",296
IASI,9,Nitrogen oxides (air),NOX,2007,Mean,annual mean,"92,669","81,096",296
IASI,9,Nitrogen oxides (air),NOX,2007,P95,95 percentile,"165,804","81,096",296
IASI,9,Nitrogen oxides (air),NOX,2007,P98,98 percentile,"215,033","81,096",296
IASI,9,Nitrogen oxides (air),NOX,2007,Max,maximum,"418,257","81,096",296
IASI,9,Nitrogen oxides (air),NOX,2007,P50,50 percentile,"71,000","76,632",6713
IASI,9,Nitrogen oxides (air),NOX,2007,Mean,annual mean,"93,153","76,632",6713
IASI,9,Nitrogen oxides (air),NOX,2007,P95,95 percentile,"236,000","76,632",6713
IASI,9,Nitrogen oxides (air),NOX,2007,P98,98 percentile,"330,300","76,632",6713
IASI,9,Nitrogen oxides (air),NOX,2007,Max,maximum,"1,095,600","76,632",6713
IASI,9,Nitrogen oxides (air),NOX,2009,P50,50 percentile,"84,426","78,356",286
IASI,9,Nitrogen oxides (air),NOX,2009,Mean,annual mean,"92,219","78,356",286
IASI,9,Nitrogen oxides (air),NOX,2009,P95,95 percentile,"162,579","78,356",286
IASI,9,Nitrogen oxides (air),NOX,2009,P98,98 percentile,"192,891","78,356",286
IASI,9,Nitrogen oxides (air),NOX,2009,Max,maximum,"234,561","78,356",286
IASI,9,Nitrogen oxides (air),NOX,2009,P50,50 percentile,"74,480","74,669",6541
IASI,9,Nitrogen oxides (air),NOX,2009,Mean,annual mean,"92,262","74,669",6541
IASI,9,Nitrogen oxides (air),NOX,2009,P95,95 percentile,"228,610","74,669",6541
IASI,9,Nitrogen oxides (air),NOX,2009,P98,98 percentile,"301,060","74,669",6541
IASI,9,Nitrogen oxides (air),NOX,2009,Max,maximum,"715,580","74,669",6541
IASI,10,Carbon monoxide (air),CO,2006,P50,50 percentile,738,"95,616",349
IASI,10,Carbon monoxide (air),CO,2006,Mean,annual mean,906,"95,616",349
IASI,10,Carbon monoxide (air),CO,2006,P95,95 percentile,"2,041","95,616",349
IASI,10,Carbon monoxide (air),CO,2006,P98,98 percentile,"2,608","95,616",349
IASI,10,Carbon monoxide (air),CO,2006,Max,maximum,"3,265","95,616",349
IASI,10,Carbon monoxide (air),CO,2006,P50,50 percentile,"1,291","95,342",348
IASI,10,Carbon monoxide (air),CO,2006,Mean,annual mean,"1,522","95,342",348
IASI,10,Carbon monoxide (air),CO,2006,P95,95 percentile,"3,529","95,342",348
IASI,10,Carbon monoxide (air),CO,2006,P98,98 percentile,"4,049","95,342",348
IASI,10,Carbon monoxide (air),CO,2006,Max,maximum,"5,586","95,342",348
IASI,10,Carbon monoxide (air),CO,2006,P50,50 percentile,620,"94,669",8293
IASI,10,Carbon monoxide (air),CO,2006,Mean,annual mean,910,"94,669",8293
IASI,10,Carbon monoxide (air),CO,2006,P95,95 percentile,"2,630","94,669",8293
IASI,10,Carbon monoxide (air),CO,2006,P98,98 percentile,"3,350","94,669",8293
IASI,10,Carbon monoxide (air),CO,2006,Max,maximum,"12,810","94,669",8293
IASI,10,Carbon monoxide (air),CO,2007,P50,50 percentile,587,"87,123",318
IASI,10,Carbon monoxide (air),CO,2007,Mean,annual mean,689,"87,123",318
IASI,10,Carbon monoxide (air),CO,2007,P95,95 percentile,"1,408","87,123",318
IASI,10,Carbon monoxide (air),CO,2007,P98,98 percentile,"1,921","87,123",318
IASI,10,Carbon monoxide (air),CO,2007,Max,maximum,"3,042","87,123",318
IASI,10,Carbon monoxide (air),CO,2007,P50,50 percentile,"1,038","86,301",315
IASI,10,Carbon monoxide (air),CO,2007,Mean,annual mean,"1,214","86,301",315
IASI,10,Carbon monoxide (air),CO,2007,P95,95 percentile,"2,750","86,301",315
IASI,10,Carbon monoxide (air),CO,2007,P98,98 percentile,"3,638","86,301",315
IASI,10,Carbon monoxide (air),CO,2007,Max,maximum,"4,525","86,301",315
IASI,10,Carbon monoxide (air),CO,2007,P50,50 percentile,400,"85,080",7453
IASI,10,Carbon monoxide (air),CO,2007,Mean,annual mean,689,"85,080",7453
IASI,10,Carbon monoxide (air),CO,2007,P95,95 percentile,"2,100","85,080",7453
IASI,10,Carbon monoxide (air),CO,2007,P98,98 percentile,"2,800","85,080",7453
IASI,10,Carbon monoxide (air),CO,2007,Max,maximum,"7,900","85,080",7453
IASI,10,Carbon monoxide (air),CO,2008,P50,50 percentile,423,"93,989",344
IASI,10,Carbon monoxide (air),CO,2008,Mean,annual mean,508,"93,989",344
IASI,10,Carbon monoxide (air),CO,2008,P95,95 percentile,"1,136","93,989",344
IASI,10,Carbon monoxide (air),CO,2008,P98,98 percentile,"1,320","93,989",344
IASI,10,Carbon monoxide (air),CO,2008,Max,maximum,"1,884","93,989",344
IASI,10,Carbon monoxide (air),CO,2008,P50,50 percentile,730,"92,896",340
IASI,10,Carbon monoxide (air),CO,2008,Mean,annual mean,911,"92,896",340
IASI,10,Carbon monoxide (air),CO,2008,P95,95 percentile,"2,118","92,896",340
IASI,10,Carbon monoxide (air),CO,2008,P98,98 percentile,"2,515","92,896",340
IASI,10,Carbon monoxide (air),CO,2008,Max,maximum,"2,789","92,896",340
IASI,10,Carbon monoxide (air),CO,2008,P50,50 percentile,320,"92,532",8128
IASI,10,Carbon monoxide (air),CO,2008,Mean,annual mean,508,"92,532",8128
IASI,10,Carbon monoxide (air),CO,2008,P95,95 percentile,"1,620","92,532",8128
IASI,10,Carbon monoxide (air),CO,2008,P98,98 percentile,"2,250","92,532",8128
IASI,10,Carbon monoxide (air),CO,2008,Max,maximum,"5,100","92,532",8128
IASI,10,Carbon monoxide (air),CO,2009,P50,50 percentile,335,"96,164",351
IASI,10,Carbon monoxide (air),CO,2009,Mean,annual mean,454,"96,164",351
IASI,10,Carbon monoxide (air),CO,2009,P95,95 percentile,"1,197","96,164",351
IASI,10,Carbon monoxide (air),CO,2009,P98,98 percentile,"1,620","96,164",351
IASI,10,Carbon monoxide (air),CO,2009,Max,maximum,"2,447","96,164",351
IASI,10,Carbon monoxide (air),CO,2009,P50,50 percentile,557,"96,438",352
IASI,10,Carbon monoxide (air),CO,2009,Mean,annual mean,810,"96,438",352
IASI,10,Carbon monoxide (air),CO,2009,P95,95 percentile,"2,138","96,438",352
IASI,10,Carbon monoxide (air),CO,2009,P98,98 percentile,"2,413","96,438",352
IASI,10,Carbon monoxide (air),CO,2009,Max,maximum,"4,280","96,438",352
IASI,10,Carbon monoxide (air),CO,2009,P50,50 percentile,270,"95,776",8390
IASI,10,Carbon monoxide (air),CO,2009,Mean,annual mean,456,"95,776",8390
IASI,10,Carbon monoxide (air),CO,2009,P95,95 percentile,"1,590","95,776",8390
IASI,10,Carbon monoxide (air),CO,2009,P98,98 percentile,"2,220","95,776",8390
IASI,10,Carbon monoxide (air),CO,2009,Max,maximum,"6,760","95,776",8390
IASI,10,Carbon monoxide (air),CO,2011,P50,50 percentile,205,"74,247",271
IASI,10,Carbon monoxide (air),CO,2011,Mean,annual mean,342,"74,247",271
IASI,10,Carbon monoxide (air),CO,2011,P95,95 percentile,"1,108","74,247",271
IASI,10,Carbon monoxide (air),CO,2011,P98,98 percentile,"1,611","74,247",271
IASI,10,Carbon monoxide (air),CO,2011,Max,maximum,"2,045","74,247",271
IASI,10,Carbon monoxide (air),CO,2011,P50,50 percentile,368,"74,247",271
IASI,10,Carbon monoxide (air),CO,2011,Mean,annual mean,585,"74,247",271
IASI,10,Carbon monoxide (air),CO,2011,P95,95 percentile,"1,808","74,247",271
IASI,10,Carbon monoxide (air),CO,2011,P98,98 percentile,"2,515","74,247",271
IASI,10,Carbon monoxide (air),CO,2011,Max,maximum,"3,129","74,247",271
IASI,10,Carbon monoxide (air),CO,2011,P50,50 percentile,170,"73,756",6461
IASI,10,Carbon monoxide (air),CO,2011,Mean,annual mean,343,"73,756",6461
IASI,10,Carbon monoxide (air),CO,2011,P95,95 percentile,"1,340","73,756",6461
IASI,10,Carbon monoxide (air),CO,2011,P98,98 percentile,"1,940","73,756",6461
IASI,10,Carbon monoxide (air),CO,2011,Max,maximum,"4,410","73,756",6461
